ID,Song Title,Artist,Year,YouTube MV Link,MV Start Time (Min.Second),YouTube Dance Practice Link,Dance Practice Start Time (Min.Sec),Duration (Second),Difficulty
0,DNA,BTS,2017,https://youtu.be/MBdVXkSdhwU,1.31,https://youtu.be/GEIU_7v40Dw,1.04,27,Hard
1,Likey,Twice,2017,https://youtu.be/V2hlQkVJZhE,1.14,https://youtu.be/aHN1dK2UxE4,1.06,36,Easy
2,Fiction,Beast,2011,https://youtu.be/ZAzWT8mRoR0,1.18,https://youtu.be/L1zZ_oDO6es,0.58,36,Easy
3,Ring Ding Dong,Shinee,2012,https://youtu.be/roughtzsCDI,1.3,https://youtu.be/aTNXpv4aXck,1.3,19,Easy
4,Sorry Sorry,Super Junior,2009,https://youtu.be/x6QA3m58DQw,1.15,https://youtu.be/AAWqnA8PdcY,0.55,33,Medium
5,Shangri-La,VIXX,2017,https://youtu.be/CYEaI5y7QaM,0.35,https://youtu.be/0ZcmWd6GypU,0.36,40,Hard
6,Shock,Beast,2011,https://youtu.be/JXxGo1MvNls,1.1,https://youtu.be/41GU8UOtQuU,1.1,37,Easy
7,TT,Twice,2016,https://youtu.be/ePpPVE-GGJw,1.2,https://youtu.be/9uypQGzzhns,0.55,37,Easy
8,Signal,Twice,2017,https://youtu.be/VQtonf1fv_s,1.39,https://youtu.be/EpMwiqW8k8o,1.13,28,Medium
9,Rock Ur Body,VIXX,2013,https://youtu.be/xG2sHvfRVOg,1.15,https://youtu.be/VYt2mcDrN1o,0.5,40,Medium
10,Like OOH-AHH,Twice,2015,https://youtu.be/0rtV5esQT6I,0.47,https://youtu.be/cszZgUUwLjE,0.47,34,Medium
11,Knock Knock,Twice,2017,https://youtu.be/8A2t_tAjMz8,0.36,https://youtu.be/idOQFSu_4Ok,0.37,38,Easy
12,Cheer Up,Twice,2016,https://youtu.be/c7rCyll5AeY,0.56,https://youtu.be/7T4wxA2BGTo,0.5,34,Easy
13,Heart Shaker,Twice,2017,https://youtu.be/rRzxEiBLQCA,0.43,https://youtu.be/mtoZRqCvucc,0.43,31.5,Easy
14,Gee,Girls' Generation,2010,https://youtu.be/U7mPqycQ0tQ,1.12,https://youtu.be/05NITCu9Hm4,0.52,27,Medium
15,Mister ,Kara,2009,https://youtu.be/DAOYwX7Vsjg,0.44,https://youtu.be/CwTlbYvdpOQ,0.45,35,Easy
16,Mr. Simple,Super Junior,2011,https://youtu.be/r6TwzSGYycM,1.4,https://youtu.be/A-aOZ9UDVco,1.05,49,Easy
17,Nobody,Wonder Girls,2007,https://youtu.be/QZBn1e9pr2Q,2.55,https://youtu.be/RZv6SLuZYxM,0.55,34.5,Easy
18,"Bad Girl, Good Girl",Miss A,2010,https://youtu.be/8TeeJvcBdLA,1,https://youtu.be/x75ir66c7Mc,1.05,34.5,Hard
19,Overdose,EXO,2014,https://youtu.be/TI0DGvqKZTI,1.2,https://youtu.be/ps36PuoJFyI,0.35,28,Hard
20,Ice Cream Cake,Red Velvet,2015,https://youtu.be/glXgSSOKlls,0.4,https://youtu.be/-aFPo-RN00I,0.3,26,Hard
21,FANTASTIC BABY,Big Bang,2012,https://youtu.be/AAbokV76tkU,0.35,https://youtu.be/xTNvybCLqOc,0.35,19.5,Medium
22,Electric Shock,f(x),2012,https://youtu.be/n8I8QGFA1oM,0.5,https://youtu.be/Ww6QrnPMSB4,1.05,21,Easy
23,Touch My Body,Sistar,2014,https://youtu.be/Q33SoblaZbU,0.5,https://youtu.be/5IT2rFeF6XQ,1,50,Medium
24,BANG BANG BANG,Big Bang,2015,https://youtu.be/2ips2mM7Zqw,0.54,https://youtu.be/uxqjsXjSKPk,0.52,34,Easy
25,Growl,EXO,2013,https://youtu.be/I3dezFzsNss,0.43,https://youtu.be/tiV4yyZF4mc,0.48,26,Hard
26,I Need U ,BTS,2015,https://youtu.be/NMdTd9e-LEI,0.51,https://youtu.be/hvUZb9NT7EY,0.42,42,Hard
27,No No No,APink,2013,https://youtu.be/hspqQuuuGIw,1.1,https://youtu.be/U3umEdXlyIM,1.1,30,Easy
